"Name","Dragon.Year","Sex","Time.in.pop","ActiveFungus","ActiveFungus_L","InfectedDensity.Annual","X","Y"
"Diva",2014,"Female",4.33333333333333,0,0,0,742,87
"Dixie",2014,"Female",1298,0,0,0,726,102
"Dobby",2014,"Male",409.5,0,0,1.32278283453044e-05,762.666666666667,147
"Dominique",2014,"Male",697,0,0,0.000467171912624471,781,143
"Doris",2014,"Female",765,0,0,3.16008941756811e-07,762,115
"Drac",2014,"Male",0,0,0,0.000159427059112441,778,200
"Dragon",2014,"Male",0,0,0,0,726,105
"Dre",2014,"Male",1312.33333333333,0,0,0,733,61.6666666666667
"Drogo",2014,"Male",1320.82352941176,0,0,1.86490193374001e-05,756.352941176471,143.235294117647
"Drummer",2014,"Male",1328,0,0,0,739.166666666667,14.9166666666667
"Dumpling",2014,"Male",1327.33333333333,0,0,0,738,48.1666666666667
"Dumpy",2014,"Male",13.6666666666667,0,0,8.30016069990773e-06,753.666666666667,192.333333333333
"Earl",2014,"Male",1326.53846153846,0,0,5.12580162967591e-06,740.692307692308,134
"Ed",2014,"Male",627.36,0,0,0,737.84,47.52
"Elaine",2014,"Female",773.428571428571,0,0,0,713.714285714286,48.2857142857143
"Eli",2014,"Female",728.25,0,0,0.000231580760129869,775.5,142.125
"Ellen",2014,"Female",0,0,0,0,715,53
"Emerald",2014,"Female",24.2222222222222,0,0,0,725.222222222222,45.2222222222222
"Ente",2014,"Male",784.333333333333,0,0,5.93795358574282e-06,758.333333333333,124.666666666667
"Eric",2014,"Male",1284,0,0,1.50873356789823e-06,763,120
"Erin",2014,"Female",662,0,0,5.40034115398624e-05,770.666666666667,171.133333333333
"Eseld",2014,"Female",39.5,0,0,0.000622243021587283,779.5,142.5
"Esme",2014,"Female",1322.96296296296,0,0,0.000171265837922272,788.259259259259,169.037037037037
"Ethel",2014,"Female",1335,0,0,3.33805125190219e-05,758.333333333333,125.222222222222
"Evi",2014,"Female",45,0,0,0.000154387207450375,775.875,161.125
"Fay",2014,"Female",1310.68421052632,0,0,0,740.789473684211,50.3157894736842
"Federica",2014,"Female",1035.28571428571,0,0,2.36348248098642e-05,747.785714285714,150.142857142857
"Felicity",2014,"Female",14,0,0,0,763.25,92.5
"Fern",2014,"Female",578.277777777778,0,0,2.42124719638548e-06,748.222222222222,189.666666666667
"Ffion",2014,"Female",33.5555555555556,0,0,6.37237124055271e-06,742.444444444444,152.555555555556
"Fisch",2014,"Male",772.315789473684,0,0,8.57616305610012e-05,770.684210526316,158.421052631579
"Flex",2014,"Male",1292,0,0,0.000438799272040068,780.5,144.166666666667
"Flirty",2014,"Female",37,0,0,4.2179250697185e-12,719.666666666667,108
"Ford",2014,"Male",372.285714285714,0,0,4.56017064392511e-09,760.857142857143,94.1428571428571
"Forgetful",2014,"Male",332.333333333333,0,0,0.000146682223643459,815,183.333333333333
"Francine",2014,"Female",790.194444444444,0,0,0,762.916666666667,92.8333333333333
"Frank",2014,"Male",29.8571428571429,0,0,1.91914337964619e-06,742.142857142857,44.7142857142857
"Fresh",2014,"Female",783.763157894737,0,0,0,754.552631578947,86
